School ID, School Name, Network, Governance, School Type, Community Area, Total, White, African American, Native American or Alaskan, Hispanic, Multi-Racial, Asian, Hawaiian or Pacific Islander
609772, ADDAMS, ISP, District, Traditional, EAST SIDE, 553, 18, 18, 0, 517, 0, 0, 0
610513, AIR FORCE HS, Network 16, District, Traditional, ARMOUR SQUARE, 142, 7, 79, 0, 54, 0, 1, 1
610212, ALBANY PARK, Network 1, District, Traditional, ALBANY PARK, 221, 12, 11, 2, 186, 1, 9, 0
609774, ALCOTT ES, Network 4, District, Traditional, LINCOLN PARK, 602, 351, 32, 2, 91, 48, 77, 1
610524, ALCOTT HS, Network 15, District, Traditional, NORTH CENTER, 346, 46, 59, 4, 228, 4, 4, 1
609848, ALDRIDGE, Network 13, District, Traditional, RIVERDALE, 234, 0, 226, 0, 8, 0, 0, 0
609695, AMUNDSEN HS, ISP, District, Traditional, LINCOLN SQUARE, 1497, 546, 116, 6, 649, 70, 106, 4
609951, ARIEL, Network 9, District, Traditional, KENWOOD, 354, 1, 342, 0, 9, 2, 0, 0
609777, ARMOUR, ISP, District, Traditional, BRIDGEPORT, 248, 21, 29, 1, 178, 8, 10, 1
609779, ARMSTRONG G, ISP, District, Traditional, WEST RIDGE, 1258, 112, 350, 7, 473, 35, 281, 0
610287, ASHBURN, Network 10, District, Traditional, ASHBURN, 350, 3, 281, 1, 63, 1, 1, 0
610268, ASHE, Network 12, District, Traditional, CHATHAM, 355, 0, 347, 0, 3, 1, 1, 1
609782, AUDUBON, Network 4, District, Traditional, NORTH CENTER, 574, 389, 9, 0, 101, 46, 28, 0
610518, AUSTIN CCA HS, Network 15, District, Traditional, AUSTIN, 167, 2, 157, 0, 8, 0, 0, 0
609786, AVALON PARK, Network 12, District, Traditional, AVALON PARK, 226, 0, 223, 0, 2, 1, 0, 0
610325, AVONDALE-LOGANDALE, Network 4, District, Traditional, AVONDALE, 509, 5, 36, 1, 452, 7, 5, 3
610544, AZUELA, ISP, District, Traditional, WEST LAWN, 709, 7, 8, 4, 687, 2, 1, 0
610563, BACK OF THE YARDS HS, ISP, District, Traditional, NEW CITY, 1004, 5, 17, 5, 961, 0, 16, 0
609788, BARNARD, Network 10, District, Traditional, BEVERLY, 263, 7, 240, 0, 9, 6, 1, 0
609789, BARRY, Network 4, District, Traditional, HERMOSA, 440, 8, 16, 3, 411, 0, 2, 0
609790, BARTON, Network 11, District, Traditional, AUBURN GRESHAM, 384, 1, 349, 0, 32, 2, 0, 0
